Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
istriku @erinagudono wajahnya cerah banget ya waktu hamil,bukan ujaran kebencian,istriku wajahnya cerah sekali ya waktu hamil,"['istriku', 'wajahnya', 'cerah', 'sekali', 'ya', 'waktu', 'hamil']",istriku wajahnya cerah ya hamil,istri wajah cerah ya hamil,1
kabulkanlah doa” rakyat yang terdholimi,bukan ujaran kebencian,kabulkanlah doa rakyat yang terdholimi,"['kabulkanlah', 'doa', 'rakyat', 'yang', 'terdholimi']",kabulkanlah doa rakyat terdholimi,kabul doa rakyat terdholimi,1
tuhan tidak tidur mbak atas kelakuan kalian sekeluarga,bukan ujaran kebencian,tuhan tidak tidur kakak atas kelakuan kalian sekeluarga,"['tuhan', 'tidak', 'tidur', 'kakak', 'atas', 'kelakuan', 'kalian', 'sekeluarga']",tuhan tidur kakak kelakuan sekeluarga,tuhan tidur kakak laku keluarga,1
"semoga anaknya mirip bahlil, amin ya rab",ujaran kebencian,semoga anaknya mirip bahlil amin ya rab,"['semoga', 'anaknya', 'mirip', 'bahlil', 'amin', 'ya', 'rab']",semoga anaknya bahlil amin ya rab,moga anak bahlil amin ya rab,0
hati2 kena sumpah seluruh rakyat indonesia,ujaran kebencian,hati hati kena sumpah seluruh rakyat indonesia,"['hati', 'hati', 'kena', 'sumpah', 'seluruh', 'rakyat', 'indonesia']",hati hati kena sumpah rakyat indonesia,hati hati kena sumpah rakyat indonesia,0
keluarga nepotisme gapunya malu,ujaran kebencian,keluarga nepotisme tidak punya malu,"['keluarga', 'nepotisme', 'tidak', 'punya', 'malu']",keluarga nepotisme malu,keluarga nepotisme malu,0
"selamat menikmati hidup enak d atas singgasana rakyat yg sengsara. demi allah, kalian akan mempertanggungjawabkan semua..",bukan ujaran kebencian,selamat menikmati hidup enak di atas singgasana rakyat yang sengsara demi allah kalian akan mempertanggungjawabkan semua,"['selamat', 'menikmati', 'hidup', 'enak', 'di', 'atas', 'singgasana', 'rakyat', 'yang', 'sengsara', 'demi', 'allah', 'kalian', 'akan', 'mempertanggungjawabkan', 'semua']",selamat menikmati hidup enak singgasana rakyat sengsara allah mempertanggungjawabkan,selamat nikmat hidup enak singgasana rakyat sengsara allah mempertanggungjawabkan,1
cari kerja aja mesti dicariin bapak 😂 minimal malu,ujaran kebencian,cari kerja saja mesti dicariin bapak minimal malu,"['cari', 'kerja', 'saja', 'mesti', 'dicariin', 'bapak', 'minimal', 'malu']",cari kerja mesti dicariin minimal malu,cari kerja mesti dicariin minimal malu,0
gimana rasanya foya-foya pake uang rakyat mba?,bukan ujaran kebencian,bagaimana rasanya foya foya pakai uang rakyat mba,"['bagaimana', 'rasanya', 'foya', 'foya', 'pakai', 'uang', 'rakyat', 'mba']",foya foya pakai uang rakyat mba,foya foya pakai uang rakyat mba,1
1 kata untuk merka tidak tau diri,ujaran kebencian,kata untuk mereka tidak tau diri,"['kata', 'untuk', 'mereka', 'tidak', 'tau', 'diri']",tau,tau,0
keluarga nepotismeeee ya masa iya ga pake fasilitas negara,ujaran kebencian,keluarga nepotisme ya masa iya tidak pakai fasilitas negara,"['keluarga', 'nepotisme', 'ya', 'masa', 'iya', 'tidak', 'pakai', 'fasilitas', 'negara']",keluarga nepotisme ya iya pakai fasilitas negara,keluarga nepotisme ya iya pakai fasilitas negara,0
ngeri gak si mereka di sumpahin org se-indonesia aku si takut skrg selamat nanti waallahuuuu,bukan ujaran kebencian,ngeri tidak sih mereka di menyumpahi orang se indonesia aku sih takut sekarang selamat nanti waallahu,"['ngeri', 'tidak', 'sih', 'mereka', 'di', 'menyumpahi', 'orang', 'se', 'indonesia', 'aku', 'sih', 'takut', 'sekarang', 'selamat', 'nanti', 'waallahu']",ngeri sih menyumpahi orang indonesia sih takut selamat waallahu,ngeri sih sumpah orang indonesia sih takut selamat waallahu,1
"se keluarga mau milikin negaraa, sekelas pak harto aja gapernah lo ngejalanin politik dinasti gini😭",bukan ujaran kebencian,se keluarga mau memiliki negaraa sekelas bapak harto saja tidak pernah kamu ngejalanin politik dinasti gini,"['se', 'keluarga', 'mau', 'memiliki', 'negaraa', 'sekelas', 'bapak', 'harto', 'saja', 'tidak', 'pernah', 'kamu', 'ngejalanin', 'politik', 'dinasti', 'gini']",keluarga memiliki negaraa sekelas harto ngejalanin politik dinasti gini,keluarga milik negaraa kelas harto ngejalanin politik dinasti gin,1
kerja lu apa si sang di politik? pencapaiannya apa?,bukan ujaran kebencian,kerja kamu apa sih sang di politik pencapaiannya apa,"['kerja', 'kamu', 'apa', 'sih', 'sang', 'di', 'politik', 'pencapaiannya', 'apa']",kerja sih sang politik pencapaiannya,kerja sih sang politik capai,1
minimal malu,ujaran kebencian,minimal malu,"['minimal', 'malu']",minimal malu,minimal malu,0
hati2 kena sumpah seluruh rakyat indonesia,bukan ujaran kebencian,hati hati kena sumpah seluruh rakyat indonesia,"['hati', 'hati', 'kena', 'sumpah', 'seluruh', 'rakyat', 'indonesia']",hati hati kena sumpah rakyat indonesia,hati hati kena sumpah rakyat indonesia,1
lu takut mati gak sih bang? faham hukum allah gak bang?,bukan ujaran kebencian,kamu takut mati tidak sih bang paham hukum allah tidak bang,"['kamu', 'takut', 'mati', 'tidak', 'sih', 'bang', 'paham', 'hukum', 'allah', 'tidak', 'bang']",takut mati sih bang paham hukum allah bang,takut mati sih bang paham hukum allah bang,1
"minimal sadar diri, kalo belum mampu mengemban amanah baru jangan mendzolimi rakyat demi kepentingan pribadi",ujaran kebencian,minimal sadar diri kalau belum mampu mengemban amanah baru jangan menzalimi rakyat demi kepentingan pribadi,"['minimal', 'sadar', 'diri', 'kalau', 'belum', 'mampu', 'mengemban', 'amanah', 'baru', 'jangan', 'menzalimi', 'rakyat', 'demi', 'kepentingan', 'pribadi']",minimal sadar mengemban amanah menzalimi rakyat kepentingan pribadi,minimal sadar emban amanah zalim rakyat penting pribadi,0
urat malu nya dah putus yee,ujaran kebencian,urat malu nya sudah putus iya,"['urat', 'malu', 'nya', 'sudah', 'putus', 'iya']",urat malu nya putus iya,urat malu nya putus iya,0
minimal kl bpk nya kacau anaknya jgn ikut2an ya..inimah sama aja😭😭😭,ujaran kebencian,minimal kalau bapak nya kacau anaknya jangan ikut ikutan ya inimah sama aja,"['minimal', 'kalau', 'bapak', 'nya', 'kacau', 'anaknya', 'jangan', 'ikut', 'ikutan', 'ya', 'inimah', 'sama', 'aja']",minimal nya kacau anaknya ikutan ya inimah aja,minimal nya kacau anak ikut ya inimah aja,0
ga kepikiran istrinya hamil disumpahin rakyat se-indonesia raya mas kaesang? aku sih mikir keras,bukan ujaran kebencian,tidak kepikiran istrinya hamil disumpahin rakyat se indonesia raya kakak kaesang aku sih pikir keras,"['tidak', 'kepikiran', 'istrinya', 'hamil', 'disumpahin', 'rakyat', 'se', 'indonesia', 'raya', 'kakak', 'kaesang', 'aku', 'sih', 'pikir', 'keras']",kepikiran istrinya hamil disumpahin rakyat indonesia raya kakak kaesang sih pikir keras,pikir istri hamil disumpahin rakyat indonesia raya kakak kaesang sih pikir keras,1
"“emang masih jaman minta proyek sama orang tua yang kerja di pemerintahan?? dasar ndeso!!”

— kaesang. p, a nepo baby",ujaran kebencian,emang masih zaman meminta proyek sama orang tua yang kerja di pemerintahan dasar ndeso kaesang p a nepo baby,"['emang', 'masih', 'zaman', 'meminta', 'proyek', 'sama', 'orang', 'tua', 'yang', 'kerja', 'di', 'pemerintahan', 'dasar', 'ndeso', 'kaesang', 'p', 'a', 'nepo', 'baby']",emang zaman proyek orang tua kerja pemerintahan dasar ndeso kaesang p a nepo baby,emang zaman proyek orang tua kerja perintah dasar ndeso kaesang p a nepo baby,0
"saya gatau sesusah apa hidup kalian duluu, smpe sampee ngejer dunia sampe segini nyaa..",bukan ujaran kebencian,aku tidak tau sesusah apa hidup kalian duluu sampai sampee mengejar dunia sampai segini nyaa,"['aku', 'tidak', 'tau', 'sesusah', 'apa', 'hidup', 'kalian', 'duluu', 'sampai', 'sampee', 'mengejar', 'dunia', 'sampai', 'segini', 'nyaa']",tau sesusah hidup duluu sampee mengejar dunia segini nyaa,tau susah hidup duluu sampee kejar dunia gin nyaa,1
"@kaesangp , tanyakan ke bapakmu... maunya bapak apa? kenapa rakyat indonesia jadi gaduh seperti ini?",bukan ujaran kebencian,tanyakan ke bapakmu maunya bapak apa kenapa rakyat indonesia jadi gaduh seperti ini,"['tanyakan', 'ke', 'bapakmu', 'maunya', 'bapak', 'apa', 'kenapa', 'rakyat', 'indonesia', 'jadi', 'gaduh', 'seperti', 'ini']",bapakmu maunya rakyat indonesia gaduh,bapak mau rakyat indonesia gaduh,1
nyengir kau dek,ujaran kebencian,menyengir kamu dik,"['menyengir', 'kamu', 'dik']",menyengir dik,sengir dik,0
"emang boleh fasilitas negara dipakai buat acara pribadi? oh iya lupa, bebas aja ya kl raja jawa mah",ujaran kebencian,memang boleh fasilitas negara dipakai buat acara pribadi oh iya lupa bebas saja ya kalau raja jawa adalah,"['memang', 'boleh', 'fasilitas', 'negara', 'dipakai', 'buat', 'acara', 'pribadi', 'oh', 'iya', 'lupa', 'bebas', 'saja', 'ya', 'kalau', 'raja', 'jawa', 'adalah']",fasilitas negara dipakai acara pribadi oh iya lupa bebas ya raja jawa,fasilitas negara pakai acara pribadi oh iya lupa bebas ya raja jawa,0
smoga anaknya masuk got ya allaah🤲🤲,ujaran kebencian,semoga anaknya masuk got ya allaah,"['semoga', 'anaknya', 'masuk', 'got', 'ya', 'allaah']",semoga anaknya masuk got ya allaah,moga anak masuk got ya allaah,0
haus banged akan kekuasaan,ujaran kebencian,haus sekali akan kekuasaan,"['haus', 'sekali', 'akan', 'kekuasaan']",haus kekuasaan,haus kuasa,0
doa orang terzolimi itu terkabul😇,bukan ujaran kebencian,doa orang terzalimi itu terkabul,"['doa', 'orang', 'terzalimi', 'itu', 'terkabul']",doa orang terzalimi terkabul,doa orang zalim kabul,1
